metric_uid,title,source,product,is_ml,ml_task,ml_entity,concept,n_dashboards,dashboards,aliases,dc_kg_node_id,in_chart_registry,in_dc_kg,agreement,platform,sub_platform,domain,unit,aggregation,polarity,is_derived,is_kpi,depends_on,dependency_confidence,source_code_ref,formula
magento.clv_at_risk_critical,CLV at Risk (Critical),magento,CustomerIQ,false,,,clv,1,customer-health,magento.clv_at_risk,store.clv_at_risk,true,true,both,Magento,,customer,currency,sum,lower_is_better,true,true,magento.net_revenue; magento.churn_risk_score,0.93,"backend/app/repositories/customer_health.py:439,243-258 (CRITICAL_RISK_CLV = SUM(CASE WHEN churn_risk_level='Critical' THEN net_ltv))",CLV at Risk = sum of net lifetime value of customers at Critical churn-risk level (churn-risk score ≥ 80)
magento.completed_orders,Completed Orders,magento,StoreFrontIQ,false,,,completed_orders,1,magento-orders-fulfillment,,,true,false,only_chart_registry,Magento,,sales,count,sum,higher_better,false,true,magento.order_id; magento.order_status,high,"backend/app/repositories/magento_orders_fulfillment.py:698-717 (_build_completed_orders_metric, 'SUM(COMPLETED_ORDERS)'); backend/app/repositories/magento_store_overview.py:141 (SUM(COMPLETED_ORDERS)); dbt mart_ecom_daily.sql:73 / mart_orders_fulfillment_daily.sql:45 (count distinct order_id where order_status='complete')",Completed Orders = count of orders that reached the completed status over the period
magento.critical_risk_count,Critical Risk Customers,magento,CustomerIQ,false,,,critical_risk_count,1,customer-health,,store.critical_risk_count,true,true,both,Magento,,customer,count,count,lower_is_better,false,true,magento.customer_id; magento.churn_risk_score,0.95,"backend/app/repositories/customer_health.py:438,226-241 (COUNT(CASE WHEN churn_risk_level='Critical'))",Critical Risk Customers = count of customers at Critical churn-risk level (churn-risk score ≥ 80)
magento.customers_with_clv,Customers with CLV,magento,CustomerIQ,false,,,clv,1,customer-ltv,,store.customers_with_clv,true,true,both,Magento,,customer,count,count,neutral,false,false,magento.customer_id; magento.net_revenue,0.93,"backend/app/repositories/customer_ltv.py:184,448 (COUNT(l.ACTUAL_LTV) as CUSTOMERS_WITH_CLV)",Customers with CLV = count of acquisition-cohort customers that have a non-null lifetime value
magento.customers_with_health_scores,Customers with Scores,magento,CustomerIQ,false,,,customers_with_scores,1,customer-health,magento.customers_with_scores,store.customers_with_scores,true,true,both,Magento,,customer,count,count,neutral,false,false,magento.customer_id; magento.health_score,0.95,"backend/app/repositories/customer_health.py:434,192-207 (COUNT(CASE WHEN HEALTH_SCORE IS NOT NULL))",Customers with Scores = count of customers that have a computed health score
magento.first_purchase_aov,First Purchase AOV,magento,CustomerIQ,false,,,first_purchase_aov,1,customer-acquisition,,,true,false,only_chart_registry,Magento,,customer,currency,ratio,higher_is_better,true,true,magento.first_order_revenue; magento.new_customers,0.95,"backend/app/repositories/customer_acquisition.py:248,232-251 (first_purchase_aov = total_revenue / total_new_users)",First Purchase AOV = total first-order revenue ÷ new customers acquired
magento.gross_revenue,Gross Revenue,magento,StoreFrontIQ,false,,,revenue,2,magento-orders-fulfillment; magento-store-overview,,ecom.revenue,true,true,both,Magento,,sales,currency,sum,higher_better,false,true,magento.grand_total,high,"backend/app/repositories/magento_store_overview.py:592-626 (_build_revenue_metric, 'SUM(GROSS_REVENUE)'); backend/app/repositories/magento_orders_fulfillment.py:739-766; dbt mart_ecom_daily.sql:76 (sum(coalesce(grand_total,0)) as gross_revenue)",Total Revenue = sum of gross order revenue over the period
magento.guest_checkout_rate,Guest Checkout Rate,magento,StoreFrontIQ,false,,,guest_checkout_rate,1,magento-customer-analytics,,ecom.guest_checkout.rate,true,true,both,Magento,,customer,percent,ratio,neutral,true,false,magento.orders; magento.customer_type,high,"backend/app/repositories/magento_customer_analytics.py:212-224 (_build_guest_checkout_rate_metric), :528-575 (_fetch_guest_checkout_rate, 'SUM(CASE WHEN customer_type=guest THEN total_orders) / SUM(total_orders) * 100'); dbt mart_ecom_daily.sql:55-59 (customer_type classification), :72 (total_orders)",Guest Checkout Rate = orders placed by guest customers ÷ total orders × 100
magento.high_risk_customers,High-Risk Customers,magento,CustomerIQ,false,,,high_risk_customers,1,churn-analysis,,blended.high_risk_customers,true,true,both,Magento,,customer,count,count,lower_is_better,false,true,magento.customer_id; magento.churn_risk_score,0.95,backend/app/repositories/churn_analysis.py:266 (COUNT(CASE WHEN churn_risk_level IN High/Critical) as HIGH_RISK_CUSTOMERS),High-Risk Customers = count of customers at High or Critical churn-risk level (churn-risk score ≥ 60); percentage = high-risk count ÷ customers with a prediction × 100
magento.journey_conversion_rate,Conversion Rate,magento,CustomerIQ,false,,,conversion_rate,1,customer-journey,magento.conversion_rate,store.conversion.rate,true,true,both,Magento,,customer,percent,ratio,higher_is_better,true,true,magento.is_conversion; magento.touchpoint_id,0.9,backend/app/repositories/customer_journey.py:248-249 (SUM(IS_CONVERSION)/COUNT(*)*100),Conversion Rate = converting touchpoints ÷ all journey touchpoints × 100
magento.journey_engagement_rate,Engagement Rate,magento,CustomerIQ,false,,,engagement_rate,1,customer-journey,magento.engagement_rate,store.engagement.rate,true,true,both,Magento,,customer,percent,ratio,higher_is_better,true,true,magento.touchpoint_value; magento.touchpoint_id,0.88,backend/app/repositories/customer_journey.py:377-380 (SUM(CASE WHEN TOUCHPOINT_VALUE>0)/COUNT(*)*100),"Engagement Rate = touchpoints with a non-zero value ÷ all journey touchpoints × 100 (proxy for engagement, not a native field)"
magento.journey_sessions,Total Sessions,magento,CustomerIQ,false,,,sessions,1,customer-journey,magento.sessions,store.sessions,true,true,both,Magento,,customer,count,count,higher_is_better,false,true,magento.touchpoint_id,0.9,backend/app/repositories/customer_journey.py:132 (COUNT(*) as CURRENT_VALUE for sessions KPI),Total Sessions = count of journey touchpoint rows in the period (each order touchpoint counts as one session)
magento.journey_users,Total Users,magento,CustomerIQ,false,,,users,1,customer-journey,magento.users,store.users,true,true,both,Magento,,customer,count,count_distinct,higher_is_better,false,true,magento.customer_id,0.92,backend/app/repositories/customer_journey.py:436 (COUNT(DISTINCT CUSTOMER_ID) as CURRENT_VALUE for users KPI),Total Users = count of distinct customers appearing in the journey data during the period
magento.median_clv,Median CLV,magento,CustomerIQ,false,,,clv,1,customer-ltv,magento.clv,store.clv.median,true,true,both,Magento,,customer,currency,median,higher_is_better,true,true,magento.net_revenue,0.92,"backend/app/repositories/customer_ltv.py:173,451 (MEDIAN(l.ACTUAL_LTV) as MEDIAN_CLV)",Median CLV = midpoint (50th-percentile) realized lifetime value across acquisition-cohort customers
magento.net_revenue,Net Revenue,magento,MarketingIQ,false,,,revenue,7,ceo-pulse; cro; customer-journey; funnel; monthly-review; quarterly-review; website-performance,,blended.revenue; store.revenue; web.revenue,true,true,both,Magento,,sales,currency,sum,higher_is_better,false,true,magento.net_revenue,0.95,"backend/app/repositories/ceo_pulse.py:509 (SUM(NET_REVENUE)); monthly_review.py:233,279; quarterly_review.py:268,778; customer_journey.py:188",Quarterly Revenue = total net revenue (Magento) for the quarter; YoY Growth % vs the same quarter last year
magento.new_customer_order_share,New Customer Revenue %,magento,MarketingIQ,false,,,revenue,1,monthly-review,,blended.new_customer_revenue,true,true,both,Magento,,sales,percent,ratio,neutral,true,true,magento.new_customer_orders; magento.orders,0.95,"backend/app/repositories/monthly_review.py:477-478,528 (NEW_CUSTOMER_ORDERS / TOTAL_ORDERS * 100)",New Customer Revenue % = new-customer orders ÷ total orders × 100 (order-share proxy)
magento.new_customers,New Customers,magento,CustomerIQ,false,,,new_customers,4,customer-acquisition; customer-overview; magento-customer-analytics; quarterly-review,,ecom.new_customers_month; store.new_customers,true,true,both,Magento,,customer,count,count_distinct,higher_is_better,false,true,magento.customer_id; magento.first_order_date,0.88,"backend/app/repositories/customer_acquisition.py:234-237 (COUNT(*) WHERE FIRST_ORDER_DATE in range); quarterly_review.py:272,897 (SUM(NEW_CUSTOMER_ORDERS))",New Customers = count of first-time customers acquired over the period
magento.nps_score,NPS Score,magento,CustomerIQ,false,,,nps_score,1,customer-feedback,,store.nps_score,true,true,both,Magento,,customer,rating,avg,higher_is_better,true,true,magento.review_rating,0.9,"backend/app/repositories/customer_feedback.py:253,225 (nps_score = AVG(AVG_RATING))","NPS Score = average product-review star rating (1-5) over the period, used as a satisfaction proxy (not a true -100..+100 NPS); change = current average − prior average"
magento.orders,Total Orders,magento,StoreFrontIQ,false,,,orders,3,ceo-pulse; magento-orders-fulfillment; magento-store-overview,,blended.orders; ecom.orders,true,true,both,Magento,,sales,count,sum,higher_better,false,true,magento.order_id,high,"backend/app/repositories/magento_store_overview.py:628-662 (_build_orders_metric, 'SUM(TOTAL_ORDERS)'); backend/app/repositories/magento_orders_fulfillment.py:669-696 (_build_total_orders_metric); dbt mart_ecom_daily.sql:72 (count(distinct order_id) as total_orders)",Today's Orders = total orders over the selected period; Change % vs comparison period
magento.predicted_clv,Predicted CLV,magento,CustomerIQ,false,,,clv,1,customer-ltv,,store.predicted_clv,true,true,both,Magento,,customer,currency,sum,higher_is_better,true,true,magento.net_revenue,0.85,"backend/app/repositories/customer_ltv.py:195,477 (predicted_clv = total_clv = SUM(ACTUAL_LTV))","Predicted CLV = sum of realized (actual) lifetime value across the acquisition cohort — placeholder; no forward-looking prediction exists in the mart, so it equals Total CLV"
magento.processing_orders,Processing Orders,magento,StoreFrontIQ,false,,,processing_orders,1,magento-orders-fulfillment,,,true,false,only_chart_registry,Magento,,sales,count,derived_difference,neutral,true,false,magento.orders; magento.completed_orders,high,"backend/app/repositories/magento_orders_fulfillment.py:719-737 (_build_processing_orders_metric, 'TOTAL_ORDERS - COMPLETED_ORDERS - CANCELED_ORDERS'), :599-616 (_calculate_order_totals omits CANCELED_ORDERS so .get default 0); dbt mart_ecom_daily.sql:72-73 (total_orders, completed_orders)","Processing Orders = max(0, total orders − completed orders) — orders received but not yet completed (no separate canceled-order count is available, so canceled is treated as 0)"
magento.promoter_percent,Promoters %,magento,CustomerIQ,false,,,promoter_percent,1,customer-feedback,,store.promoter_percent,true,true,both,Magento,,customer,percent,ratio,higher_is_better,true,true,magento.review_rating; magento.total_responses,0.93,"backend/app/repositories/customer_feedback.py:226,248 (promoters = COUNT(AVG_RATING>=4); promoter_pct = promoters/total*100)",Promoters % = reviews rated 4 or 5 stars ÷ all rated reviews × 100%; change = current % − prior %
magento.refund_rate,Refund Rate,magento,StoreFrontIQ,false,,,refund_rate,1,magento-orders-fulfillment,,,true,false,only_chart_registry,Magento,,sales,percent,ratio,lower_better,true,true,magento.refunded_orders; magento.orders,high,"backend/app/repositories/magento_orders_fulfillment.py:807-821 (_build_refund_rate_metric, 'REFUNDED_ORDERS / TOTAL_ORDERS * 100'), :641 (_calculate_fulfillment_totals); dbt mart_orders_fulfillment_daily.sql:89,154-159 (refunded_orders, refund_rate)",Refund Rate = refunded orders ÷ total orders × 100
magento.repeat_rate,Repeat Purchase Rate,magento,CustomerIQ,false,,,retention,5,cohort-analysis; customer-retention; customer-rfm; magento-customer-analytics; product-affinity,,blended.repeat.rate; ecom.repeat.rate; store.repeat.rate; store.repeat_purchase.rate,true,true,both,Magento,,customer,percent,ratio,higher_is_better,true,true,magento.repeat_customers; magento.unique_customers,0.93,"backend/app/repositories/customer_retention.py:188-189; magento_customer_analytics.py:349,160-170; product_affinity.py:226,617 (REPEAT_CUSTOMERS/UNIQUE_CUSTOMERS*100)",Repeat Rate = repeat customers ÷ unique customers × 100
magento.returning_customers,Returning Customers,magento,CustomerIQ,false,,,returning_customers,1,customer-overview,,store.returning_customers,true,true,both,Magento,,customer,count,count_distinct,higher_is_better,false,true,magento.customer_id; magento.first_order_date; magento.last_order_date,0.92,backend/app/repositories/customer_overview.py:446-450 (RETURNING_CUSTOMERS = COUNT DISTINCT first_order_date < date_from AND last_order_date >= date_from),Returning Customers = count of distinct customers acquired before the period who placed an order within the period. Retention Rate = returning customers ÷ total customers × 100
magento.survey_responses,Survey Responses,magento,CustomerIQ,false,,,total_responses,1,customer-feedback,magento.total_responses,store.responses.sum,true,true,both,Magento,,customer,count,count,higher_is_better,false,true,magento.review_id; magento.review_rating,0.93,"backend/app/repositories/customer_feedback.py:224,239 (total_responses = COUNT(*) WHERE AVG_RATING > 0)",Survey Responses = count of rated reviews (rating above zero) submitted in the period; change % = (current − previous) ÷ previous × 100
magento.top_affinity_lift,Top Affinity Lift,magento,ProductIQ,false,,,top_lift,1,product-affinity,,store.top_lift,true,true,both,Magento,,sales,ratio,max,higher_is_better,true,true,magento.affinity_lift; magento.co_purchase_count,0.95,"backend/app/repositories/product_affinity.py:264,560-585 (MAX(LIFT) WHERE CO_PURCHASE_COUNT >= 5)","Top Affinity Lift = highest lift score among product pairs with at least 5 co-purchases, where lift = probability of buying A and B together ÷ (probability of A × probability of B)"
magento.total_clv,Total CLV,magento,CustomerIQ,false,,,clv,3,cohort-analysis; customer-ltv; customer-rfm,,blended.ltv.sum; store.clv.sum,true,true,both,Magento,,customer,currency,sum,higher_is_better,true,true,magento.net_revenue,0.9,"backend/app/repositories/customer_rfm.py:220,350 (SUM(NET_LTV)); cohort_analysis.py:244 (SUM(NET_LTV)); customer_ltv.py:151,449 (SUM(ACTUAL_LTV))",Total CLV = sum of net lifetime value across all purchasing customers active in the period
magento.total_customers,Total Customers,magento,CustomerIQ,false,,,customers,2,customer-overview; customer-rfm,magento.customers,ecom.customers; store.customers.sum,true,true,both,Magento,,customer,count,count_distinct,higher_is_better,false,true,magento.customer_id,0.9,"backend/app/repositories/customer_overview.py:434-437 (COUNT DISTINCT customer_id); customer_rfm.py:165,347 (COUNT(*) FROM MART_CUSTOMER_RFM)",Total Customers = count of distinct customers with ≥1 order who had any order activity overlapping the selected period
magento.unique_customers,Unique Customers,magento,StoreFrontIQ,false,,,customers,2,magento-customer-analytics; magento-store-overview,magento.customers,ecom.active_customers; ecom.customers; ecom.customers.sum,true,true,both,Magento,,customer,count,sum,higher_better,false,true,magento.customer_id,high,"backend/app/repositories/magento_store_overview.py:703-737 (_build_customers_metric, 'SUM(UNIQUE_CUSTOMERS)'); backend/app/repositories/magento_customer_analytics.py:124-146 (_build_total_customers_metric / _build_active_customers_metric, 'SUM(UNIQUE_CUSTOMERS)'); dbt mart_ecom_daily.sql:80 (count(distinct customer_id) as unique_customers)",Active Customers = count of unique customers who ordered over the period
magento.units_sold,Units Sold,magento,StoreFrontIQ,false,,,units_sold,1,magento-store-overview,,,true,false,only_chart_registry,Magento,,sales,count,sum,higher_better,false,true,magento.total_qty_ordered,high,"backend/app/repositories/magento_store_overview.py:352 (_calculate_period_totals TOTAL_UNITS_SOLD), :145 (SUM(NVL(TOTAL_UNITS_SOLD,0))); dbt mart_ecom_daily.sql:83 (sum(coalesce(total_qty_ordered,0)) as total_units_sold)",Units Sold = total product units sold over the period
meta_ads.cpm,Meta CPM,meta_ads,MarketingIQ,false,,,meta_cpm,1,meta-overview,,meta.cpm,true,true,both,Meta Ads,,marketing,currency,ratio,lower_is_better,true,true,meta_ads.spend; meta_ads.impressions,high,"backend/app/repositories/meta_overview.py:100 (ROUND(SUM(SPEND) / NULLIF(SUM(IMPRESSIONS), 0) * 1000, 2) as AVG_CPM); builder meta_overview.py:197 _build_cpm_kpi","CPM = Meta spend ÷ Meta impressions × 1,000"
meta_ads.frequency,Meta Frequency,meta_ads,MarketingIQ,false,,,frequency,2,audience-performance; meta-overview,,blended.frequency.avg; meta.frequency,true,true,both,Meta Ads,,marketing,ratio,ratio,neutral,true,true,meta_ads.impressions; meta_ads.reach,high,"backend/app/repositories/meta_overview.py:99 (ROUND(SUM(IMPRESSIONS) / NULLIF(SUM(REACH), 0), 2) as AVG_FREQUENCY); audience_performance.py:309 (FREQUENCY = META_IMPRESSIONS / META_REACH)",Frequency = Meta impressions ÷ Meta reach (average exposures per person)
meta_ads.reach,Meta Reach,meta_ads,MarketingIQ,false,,,meta_reach,2,audience-performance; meta-overview,,blended.reach.sum; meta.reach,true,true,both,Meta Ads,,marketing,count,sum,higher_is_better,false,true,meta_ads.reach,high,backend/app/repositories/meta_overview.py:96 (SUM(REACH) as TOTAL_REACH); builder meta_overview.py:209 _build_reach_kpi; audience_performance.py:296 META_REACH sum where PLATFORM='Meta Ads',Reach = total unique people who saw the Meta ads at least once over the period
meta_ads.roas,Meta ROAS,meta_ads,MarketingIQ,false,,,roas,1,meta-overview,,meta.roas,true,true,both,Meta Ads,,marketing,ratio,ratio,higher_is_better,true,true,meta_ads.conversion_value; meta_ads.spend,high,"backend/app/repositories/meta_overview.py:103 (ROUND(SUM(CONVERSIONS_VALUE) / NULLIF(SUM(SPEND), 0), 2) as OVERALL_ROAS); builder meta_overview.py:185 _build_roas_kpi",ROAS = Meta attributed conversion value ÷ Meta spend (7-day click + 1-day view attribution)
meta_ads.spend,Meta Total Spend,meta_ads,MarketingIQ,false,,,spend,1,meta-overview,,meta.spend; meta.spend.sum,true,true,both,Meta Ads,,marketing,currency,sum,neutral,false,true,meta_ads.spend,high,backend/app/repositories/meta_overview.py:94 (SUM(SPEND) as TOTAL_SPEND); builder meta_overview.py:173 _build_spend_kpi,Total Spend = total Meta advertising spend across all placements over the period
meta_creative.active_creatives,Meta Creative Active Creatives,meta_ads,MarketingIQ,false,,,active_creatives,1,meta-creative,meta_ads.active_creatives,meta.active_creatives,true,true,both,Meta Ads,creative,marketing,count,count,higher_is_better,true,true,meta_creative.creative_id; meta_creative.spend,high,"backend/app/repositories/meta_creative.py:114-118 (COUNT(DISTINCT CREATIVE_ID) WHERE DATE_DAY >= DATEADD('day',-7,...) AND SPEND > 0); builder meta_creative.py:226 calculation 'COUNT(DISTINCT CREATIVE_ID) WHERE SPEND > 0 in last 7 days'",Active Creatives = count of distinct creatives with ad spend > 0 in the trailing 7 days
meta_creative.cpc,Meta Creative Avg CPC,meta_ads,MarketingIQ,false,,,cpc,1,meta-creative,meta_ads.cpc,meta.cpc.avg,true,true,both,Meta Ads,creative,marketing,currency,ratio,lower_is_better,true,true,meta_creative.spend; meta_creative.link_clicks,high,"backend/app/repositories/meta_creative.py:90 (ROUND(SUM(SPEND) / NULLIF(SUM(LINK_CLICKS), 0), 2) as AVG_CPC); builder meta_creative.py:295 calculation 'SUM(SPEND) / SUM(LINK_CLICKS)'",Avg CPC = Meta creative spend ÷ link clicks (cost per link click)
meta_creative.ctr,Meta Creative Avg CTR,meta_ads,MarketingIQ,false,,,ctr,1,meta-creative,meta_ads.ctr,meta.ctr.avg,true,true,both,Meta Ads,creative,marketing,percent,ratio,higher_is_better,true,true,meta_creative.link_clicks; meta_creative.impressions,high,"backend/app/repositories/meta_creative.py:89 (ROUND(SUM(LINK_CLICKS) * 100.0 / NULLIF(SUM(IMPRESSIONS), 0), 2) as AVG_CTR); builder meta_creative.py:272 calculation 'SUM(LINK_CLICKS) * 100 / SUM(IMPRESSIONS)'",Avg CTR = Meta creative link clicks ÷ impressions × 100 (percentage)
meta_creative.spend,Meta Creative Spend,meta_ads,MarketingIQ,false,,,spend,1,meta-creative,meta_ads.spend,meta.spend; meta.spend.sum,true,true,both,Meta Ads,creative,marketing,currency,sum,neutral,false,true,meta_creative.spend,high,backend/app/repositories/meta_creative.py:88 (SUM(SPEND) as TOTAL_SPEND); builder meta_creative.py:249 calculation 'SUM(SPEND)',Total Spend = total Meta advertising spend allocated to creatives over the period
meta_creative.total_creatives,Meta Creative Total Creatives,meta_ads,MarketingIQ,false,,,total_creatives,1,meta-creative,meta_ads.total_creatives,meta.creatives.sum,true,true,both,Meta Ads,creative,marketing,count,count,neutral,false,true,meta_creative.creative_id,high,backend/app/repositories/meta_creative.py:85 (COUNT(DISTINCT CREATIVE_ID) as TOTAL_CREATIVES); builder meta_creative.py:209 calculation 'COUNT(DISTINCT CREATIVE_ID)',Total Creatives = count of distinct creative assets that ran in ads over the period
meta_prospecting.cost_per_1k_reach,Meta Prospecting Cost per 1k Reach,meta_ads,MarketingIQ,false,,,cost_per_1k_reach,1,meta-prospecting,meta_ads.cost_per_1k_reach,meta.cost_per_1k_reach,true,true,both,Meta Ads,prospecting,marketing,currency,ratio,lower_is_better,true,true,meta_prospecting.spend; meta_prospecting.reach,high,"backend/app/repositories/meta_prospecting.py:98 (ROUND(SUM(SPEND) / NULLIF(SUM(REACH), 0) * 1000, 4) as COST_PER_REACH); builder meta_prospecting.py:268,293 calculation 'SUM(SPEND) / SUM(REACH) * 1000'","Cost per 1k Reach = Meta prospecting spend ÷ reach × 1,000 (cost to reach 1,000 unique people)"
meta_prospecting.cpm,Meta Prospecting Avg CPM,meta_ads,MarketingIQ,false,,,cpm,1,meta-prospecting,meta_ads.cpm,meta.cpm,true,true,both,Meta Ads,prospecting,marketing,currency,avg,lower_is_better,true,true,meta_prospecting.spend; meta_prospecting.impressions,high,"backend/app/repositories/meta_prospecting.py:99 (ROUND(AVG(CPM), 2) as AVG_CPM); builder meta_prospecting.py:310,324 calculation 'AVG(CPM)'",Avg CPM = average of daily campaign CPM values across prospecting campaigns
meta_prospecting.frequency,Meta Prospecting Avg Frequency,meta_ads,MarketingIQ,false,,,frequency,1,meta-prospecting,meta_ads.frequency,meta.frequency; meta.frequency.avg,true,true,both,Meta Ads,prospecting,marketing,ratio,avg,neutral,true,true,meta_prospecting.impressions; meta_prospecting.reach,high,"backend/app/repositories/meta_prospecting.py:101 (ROUND(AVG(FREQUENCY), 2) as AVG_FREQUENCY); builder meta_prospecting.py:330,355 calculation 'AVG(FREQUENCY)'",Avg Frequency = average of daily campaign frequency values across prospecting campaigns
meta_prospecting.reach,Meta Prospecting Reach,meta_ads,MarketingIQ,false,,,reach,1,meta-prospecting,meta_ads.reach,meta.reach; meta.reach.sum,true,true,both,Meta Ads,prospecting,marketing,count,sum,higher_is_better,false,true,meta_prospecting.reach,high,"backend/app/repositories/meta_prospecting.py:95 (SUM(REACH) as TOTAL_REACH); builder meta_prospecting.py:252,262 calculation 'SUM(REACH)'",Total Reach = total unique people who saw prospecting ads at least once over the period
meta_prospecting.spend,Meta Prospecting Spend,meta_ads,MarketingIQ,false,,,spend,1,meta-prospecting,meta_ads.spend,meta.spend; meta.spend.sum,true,true,both,Meta Ads,prospecting,marketing,currency,sum,neutral,false,true,meta_prospecting.spend,high,"backend/app/repositories/meta_prospecting.py:94 (SUM(SPEND) as TOTAL_SPEND); builder meta_prospecting.py:221,231 calculation 'SUM(SPEND)'",Total Spend = total Meta advertising spend across all prospecting campaigns over the period
meta_retargeting.ctr,Meta Retargeting CTR,meta_ads,MarketingIQ,false,,,retargeting_ctr,1,meta-retargeting,meta_ads.ctr,meta.ctr.avg,true,true,both,Meta Ads,retargeting,marketing,percent,avg,higher_is_better,true,true,meta_retargeting.clicks; meta_retargeting.impressions,high,"backend/app/repositories/meta_retargeting.py:298 (AVG(...CTR...) as AVG_CTR), :320 (AVG(CTR) as CTR); builder meta_retargeting.py:226,237 calculation 'AVG(CTR)'",Retargeting CTR = average of daily ad-set click-through rate across retargeting campaigns (percentage)
meta_retargeting.frequency,Meta Retargeting Frequency,meta_ads,MarketingIQ,false,,,frequency,1,meta-retargeting,meta_ads.frequency,meta.frequency,true,true,both,Meta Ads,retargeting,marketing,ratio,avg,neutral,true,true,meta_retargeting.impressions; meta_retargeting.reach,high,"backend/app/repositories/meta_retargeting.py:297 (AVG(...FREQUENCY...) as AVG_FREQUENCY), :320 (AVG(FREQUENCY) as FREQUENCY); builder meta_retargeting.py:182,193 calculation 'AVG(FREQUENCY)'",Retargeting Frequency = average of daily ad-set frequency across retargeting campaigns (exposures per person)
meta_retargeting.reach,Meta Retargeting Reach,meta_ads,MarketingIQ,false,,,retargeting_reach,1,meta-retargeting,meta_ads.reach,meta.reach,true,true,both,Meta Ads,retargeting,marketing,count,sum,higher_is_better,false,true,meta_retargeting.reach,high,"backend/app/repositories/meta_retargeting.py:295 (SUM(...REACH...) as TOTAL_REACH), :319 (SUM(REACH) as REACH); builder meta_retargeting.py:200,214 calculation 'SUM(REACH)'",Retargeting Reach = total unique users who saw retargeting ads over the period
meta_retargeting.retargeting_fatigue,Meta Retargeting Fatigue,meta_ads,MarketingIQ,false,,,retargeting_fatigue,1,meta-retargeting,meta_ads.retargeting_fatigue,meta.fatigue,true,true,both,Meta Ads,retargeting,marketing,percent,rate,lower_is_better,true,true,meta_retargeting.ctr,high,"backend/app/repositories/meta_retargeting.py:392-394 (CASE WHEN h.CTR > 0 THEN ((h.CTR - c.CTR) / h.CTR) * 100 ... as FATIGUE_SCORE, where CTR = AVG(CTR)); builder meta_retargeting.py:243 _ep07_build_fatigue calculation '((historical_ctr - current_ctr) / historical_ctr) * 100'",Retargeting Fatigue Score = (historical-period CTR − current-period CTR) ÷ historical-period CTR × 100
meta_retargeting.roas,Meta Retargeting ROAS,meta_ads,MarketingIQ,false,,,roas,1,meta-retargeting,meta_ads.roas,meta.roas,true,true,both,Meta Ads,retargeting,marketing,ratio,ratio,higher_is_better,true,true,meta_retargeting.conversion_value; meta_retargeting.spend,high,"backend/app/repositories/meta_retargeting.py:335-336,352 (SUM(CONVERSIONS_VALUE) as TOTAL_REVENUE; TOTAL_REVENUE / TOTAL_SPEND as AVG_ROAS); builder meta_retargeting.py:155 calculation 'SUM(REVENUE) / SUM(SPEND)'",Retargeting ROAS = Meta retargeting conversion value ÷ retargeting spend
meta_retargeting.spend,Meta Retargeting Spend,meta_ads,MarketingIQ,false,,,spend,1,meta-retargeting,meta_ads.spend,meta.spend; meta.spend.sum,true,true,both,Meta Ads,retargeting,marketing,currency,sum,neutral,false,true,meta_retargeting.spend,high,"backend/app/repositories/meta_retargeting.py:293 (SUM(...SPEND...) as TOTAL_SPEND), :318 (SUM(SPEND) as SPEND); builder meta_retargeting.py:133 calculation 'SUM(SPEND) WHERE retargeting_filter'",Retargeting Spend = total Meta spend across retargeting campaigns over the period
operational.active_alert_rules,Active Alert Rules,operational,MarketingIQ,false,,,active_rules,1,alerts-config,,,true,false,only_chart_registry,Operational,,operations,count,constant,neutral,false,false,,high,"backend/app/features/alerts_config/dashboard/repository.py:32-67 (get_alert_summary: 'SELECT 7 AS active_rules'), :166-238 (get_alert_rules static list)",Active Rules = fixed count of enabled alert rules currently monitoring (7)
operational.avg_alert_response_time,Avg Alert Response Time,operational,MarketingIQ,false,,,response_time,1,alerts-config,,,true,false,only_chart_registry,Operational,,operations,minutes,constant,lower_better,false,false,,high,"backend/app/features/alerts_config/dashboard/repository.py:62 (15.5 AS AVG_RESPONSE_TIME_MINUTES), :89 (default 15.5)",Avg Response Time = fixed average minutes to acknowledge alerts (15.5)
operational.avg_sync_lag,Average Sync Lag,operational,MarketingIQ,false,,,avg_sync_lag,1,data-quality,,,true,false,only_chart_registry,Operational,,operations,minutes,avg,lower_better,true,false,source.ga4._fivetran_synced; source.google_ads._fivetran_synced; source.meta_ads._fivetran_synced; source.klaviyo._fivetran_synced,high,"backend/app/features/data_quality/dashboard/repository.py:81-133 (get_schema_freshness_summary: DATEDIFF minute, MAX(_FIVETRAN_SYNCED)), :603-667 (get_sparklines AVG_SYNC_LAG)","Average Sync Lag = average across schemas of (current time − most recent Fivetran sync time), in minutes"
operational.critical_alert_count,Critical Alerts,operational,MarketingIQ,false,,,critical_alerts,1,alerts-config,,,true,false,only_chart_registry,Operational,,operations,count,sum,lower_better,true,true,ga4.revenue; google_ads.roas; meta_ads.ctr,high,backend/app/features/alerts_config/dashboard/repository.py:30-92 (get_alert_summary: critical_revenue/critical_roas/critical_ctr summed into CRITICAL_ALERTS),"Critical Alerts = count of business metrics breaching their critical threshold (today's GA4 revenue < $21,301) + (trailing-7-day Google Ads ROAS < 4.89) + (trailing-7-day Meta Ads CTR < 2.0%)"
